Group,avgIFR,lowIFR,highIFR 
0,0.00161,0.000185,0.0249
1,0.00161,0.000185,0.0249
2,0.00161,0.000185,0.0249
3,0.00161,0.000185,0.0249
4,0.00161,0.000185,0.0249
5,0.00161,0.000185,0.0249
6,0.00161,0.000185,0.0249
7,0.00161,0.000185,0.0249
8,0.00161,0.000185,0.0249
9,0.00161,0.000185,0.0249
10,0.00695,0.00149,0.0502
11,0.00695,0.00149,0.0502
12,0.00695,0.00149,0.0502
13,0.00695,0.00149,0.0502
14,0.00695,0.00149,0.0502
15,0.00695,0.00149,0.0502
16,0.00695,0.00149,0.0502
17,0.00695,0.00149,0.0502
18,0.00695,0.00149,0.0502
19,0.00695,0.00149,0.0502
20,0.0309,0.0138,0.0923
21,0.0309,0.0138,0.0923
22,0.0309,0.0138,0.0923
23,0.0309,0.0138,0.0923
24,0.0309,0.0138,0.0923
25,0.0309,0.0138,0.0923
26,0.0309,0.0138,0.0923
27,0.0309,0.0138,0.0923
28,0.0309,0.0138,0.0923
29,0.0309,0.0138,0.0923
30,0.0844,0.0408,0.185
31,0.0844,0.0408,0.185
32,0.0844,0.0408,0.185
33,0.0844,0.0408,0.185
34,0.0844,0.0408,0.185
35,0.0844,0.0408,0.185
36,0.0844,0.0408,0.185
37,0.0844,0.0408,0.185
38,0.0844,0.0408,0.185
39,0.0844,0.0408,0.185
40,0.161,0.0764,0.323
41,0.161,0.0764,0.323
42,0.161,0.0764,0.323
43,0.161,0.0764,0.323
44,0.161,0.0764,0.323
45,0.161,0.0764,0.323
46,0.161,0.0764,0.323
47,0.161,0.0764,0.323
48,0.161,0.0764,0.323
49,0.161,0.0764,0.323
50,0.595,0.344,1.28
51,0.595,0.344,1.28
52,0.595,0.344,1.28
53,0.595,0.344,1.28
54,0.595,0.344,1.28
55,0.595,0.344,1.28
56,0.595,0.344,1.28
57,0.595,0.344,1.28
58,0.595,0.344,1.28
59,0.595,0.344,1.28
60,1.93,1.11,3.89
61,1.93,1.11,3.89
62,1.93,1.11,3.89
63,1.93,1.11,3.89
64,1.93,1.11,3.89
65,1.93,1.11,3.89
66,1.93,1.11,3.89
67,1.93,1.11,3.89
68,1.93,1.11,3.89
69,1.93,1.11,3.89
70,4.28,2.45,8.44
71,4.28,2.45,8.44
72,4.28,2.45,8.44
73,4.28,2.45,8.44
74,4.28,2.45,8.44
75,4.28,2.45,8.44
76,4.28,2.45,8.44
77,4.28,2.45,8.44
78,4.28,2.45,8.44
79,4.28,2.45,8.44
80,7.80,3.80,13.3
81,7.80,3.80,13.3
82,7.80,3.80,13.3
83,7.80,3.80,13.3
84,7.80,3.80,13.3
