state,already,soon,some,most,never
National,15,33,15,16,21
AK,29,19,16,14,23
AL,13,30,13,20,24
AR,13,25,13,19,31
AZ,15,28,18,13,27
CA,11,32,24,18,15
CO,17,33,15,13,22
CT,13,42,12,15,17
DC,19,43,15,10,13
DE,17,34,18,18,13
FL,12,31,15,18,24
GA,13,26,15,18,28
HI,19,41,14,16,11
IA,16,35,11,17,21
ID,13,29,12,16,30
IL,13,30,16,21,20
IN,17,29,17,14,24
KS,17,29,14,14,26
KY,9,31,16,18,26
LA,11,27,13,17,30
MA,13,47,18,13,9
MD,15,37,16,17,16
ME,12,40,14,18,16
MI,10,29,16,19,27
MN,14,36,16,13,21
MO,13,34,11,18,25
MS,14,25,14,17,31
MT,13,31,18,16,22
NC,15,32,15,16,22
ND,15,25,8,19,33
NE,10,41,11,17,21
NH,15,39,13,12,21
NJ,12,41,17,16,13
NM,18,31,7,14,30
NV,15,30,15,16,24
NY,12,36,17,17,19
OH,14,33,11,20,22
OK,15,27,8,17,33
OR,14,34,13,13,27
PA,14,35,14,17,21
RI,13,40,18,12,17
SC,11,31,16,19,23
SD,17,29,14,12,27
TN,13,32,13,14,29
TX,16,30,15,16,24
UT,14,38,15,18,15
VA,18,30,16,16,20
VT,12,37,17,17,18
WA,17,38,15,13,17
WI,12,35,14,19,21
WV,14,26,15,16,30
WY,14,18,14,22,32

